秘密保持契約書	0	x
※  本雛型は簡易版であり、あらゆるケースに対応したものではありません。ご利用にあたっては、	0	c
適宜専門家にご相談頂くようお願いいたします。	0	s
●株式会社(以下「甲」という。)と●株式会社(以下「乙」という。)とは、以下のとおり合意したので、●年●	0	c
月●日付で本秘密保持契約書(以下「本契約」という。)を締結するものとする。	-1	s
第 1条   目的	0	d
本契約において、「本目的」とは、●1を意味する。	6	s
第 2条   秘密情報2	0	d
本契約において、「秘密情報」とは、本契約の当事者が、相手方より書面、口頭、記録媒体その他方法の	0	c
如何を問わず提供又は開示された、相手方の技術、営業、業務、財務、組織、その他の事項に関するあら	0	c
ゆる情報を意味する。但し、以下の各号に該当することが書面により証明できるものは秘密情報から除外	0	c
するものとする。3	0	d
(1)  相手方から提供又は開示がなされたとき、既に公知となっていた、又は自己において既に知得し	0	c
ていたもの	0	s
(2)  相手方から提供又は開示がなされた後、自己の責に帰せざる事由により公知となったもの	0	s
(3)  提供又は開示の権限のある第三者から秘密保持義務を負わされることなく適法に取得したもの	0	s
(4)  秘密情報によることなく単独で開発したもの	0	s
(5)  相手方から秘密保持の必要なき旨書面で確認されたもの	8	s
第 3条   秘密情報の管理	0	d
1.  本契約の当事者は、相手方の事前の書面による承諾なしに、秘密情報を本目的以外に利用してはな	0	c
らず、秘密情報を第三者に開示又は漏洩してはならない。本契約の当事者は、自己の秘密情報に対	0	c
するのと同等の注意(但し合理的な程度を下回らないものとする。)をもって、相手方の秘密情報を取	0	c
り扱うものとする。4	0	s
2.  本契約の当事者は、秘密情報を厳重に管理し、自己の役員又は従業員といえども本目的のために秘	0	c
密情報を知る必要がある者に対してのみこれを開示するものとし、開示を受けた役員又は従業員が	0	c
秘密情報を本目的以外の目的に利用したり、第三者に開示又は漏洩したりしないよう厳重に指導及	0	c
び監督しなければならない。	0	s
3.  本契約の当事者は、秘密情報を記載又は包含した文書又は記録媒体等を複製する場合には、事前	0	c
に相手方の書面による承諾を得るものとし、第 1 項及び第 2 項に準じて複製物を管理するものとする。	0	c
1    例としては、「ソフトウェアの共同開発の可能性の検討」等の記載が考えられる。	0	x
2    「秘密情報」の範囲を広く定義しているが、開示の際に秘密である旨書面等で明示されたものに限ることも考えられ	0	x
る。自社と相手方のいずれが主な情報の開示主体になるか等に応じて、検討することになる。	0	x
3  個人情報については例外が適用されない旨定めることも考えられる。	0	x
4    目的外使用だけでなく、より積極的に競業禁止規定を設けるケースもある。但し、自社ビジネスの制約とならないよ	0	x
うに慎重に検討する必要がある。	0	x
1	0	e
AZX Professionals Group	0	e
        〒102-0083 東京都千代田区麹町 1-4 半蔵門ファーストビル 3 階	0	e
TEL:03-3512-2531(代表)        URL:http://www.azx.co.jp	0	e
FAX:03-3237-2175                  e-mail:contact@azx.co.jp	0	e
5	19	s
第 4条   交渉過程等の非開示	0	d
本契約の当事者は、相手方の事前の書面による承諾なしに、本目的に関する打合せ、交渉又は取引の事	0	c
実、過程又は結果(以下「交渉過程等」という。)を第三者に開示又は漏洩してはならず、かかる事項につ	0	c
いて前条に準じた管理を行うものとする。	42	s
第 5条   強制的開示	0	d
第 3 条及び第 4 条の規定に拘らず、本契約の当事者は、法令による場合、又は裁判所若しくは政府機関	0	c
その他公的機関による命令、要求若しくは要請がある場合は、当該命令等に従うために必要な限度にお	0	c
いて秘密情報又は交渉過程等を開示することができる。但し、この場合、開示を行った当事者は開示した	0	c
旨を速やかに相手方に通知するとともに、相手方の合理的な指示に従わなければならない。	46	s
第 6条   秘密情報の返還、廃棄等	0	d
本契約の当事者は、相手方から求められた場合にはいつでも、遅滞なく、相手方の指示に従い、秘密情	0	c
報、秘密情報を記載又は包含した文書及び記録媒体等並びにそれらの全ての複製物について、返却、廃	0	c
棄その他の処分をなすものとし、相手方の要請に基づきその証明書を交付するものとする。	51	s
第 7条   知的財産権	0	d
1.  本契約に基づく一方当事者から他方当事者への情報の開示は、明示黙示を問わず、秘密情報及び	0	c
それに含まれる特許権、実用新案権、商標権、意匠権、著作権、ノウハウ、その他の知的財産権につ	0	c
いての使用権、実施権若しくはライセンスの付与若しくは設定又は譲渡を意味するものではない。	0	s
2.  いずれの当事者も、秘密情報の中に、知的財産権又は知的財産権になりうる情報が含まれていたと	0	c
しても、国内外においてリバース・エンジニアリング又は特許申請行為等その情報に関する相手方の	0	c
権利又は利益を侵害する行為を、自ら行わず、かつ、自己の役員、従業員及び子会社を含む如何な	0	c
る第三者にも行わせないものとする。	55	s
第 8条   免  責	0	d
1.  本契約の締結はいずれの当事者に対してもいかなる情報の開示も義務付けるものではない。	0	s
2.  全ての秘密情報は現状有姿で提供され、いずれの当事者も明示黙示を問わず秘密情報の正確性、完全	0	c
性及び効果について何らの保証もしないものとする。いずれの当事者も、自己の判断と責任に基づき相	0	c
手方の秘密情報を利用し、秘密情報を提供又は開示した当事者は相手方が秘密情報を利用したことに	0	c
関連して被った損害について一切の責任を負わないものとする。	63	s
第 9条   有効期間	0	d
本契約は、本契約締結の日から●年間効力を有する。但し、本契約の終了に拘らず、具体的な個々の秘	0	c
密情報については、その提供又は開示の時から●年間は本契約の規定が有効に適用されるものとする。	69	s
第 10条  損害賠償等	0	d
本契約の当事者は、本契約に違反することにより相手方に損害を与えた場合には、相手方に対して損害	0	c
